#wave(A)    	flux(maggies)	flux(ABmag)
9.283700e+03	4.553600e-08	1.835411e+01
9.309100e+03	4.582370e-08	1.834727e+01
9.334500e+03	4.610371e-08	1.834066e+01
9.359900e+03	4.669073e-08	1.832692e+01
9.385300e+03	4.641894e-08	1.833326e+01
9.410700e+03	4.617106e-08	1.833908e+01
9.436100e+03	4.673620e-08	1.832587e+01
9.461500e+03	4.698629e-08	1.832007e+01
9.486900e+03	4.724781e-08	1.831405e+01
9.512300e+03	4.734309e-08	1.831186e+01
9.537700e+03	4.772635e-08	1.830310e+01
9.563100e+03	4.810187e-08	1.829460e+01
9.588500e+03	4.849711e-08	1.828571e+01
9.613900e+03	4.850203e-08	1.828560e+01
9.639300e+03	4.847708e-08	1.828616e+01
9.664700e+03	4.844604e-08	1.828685e+01
9.690100e+03	4.851976e-08	1.828520e+01
9.715500e+03	4.858274e-08	1.828379e+01
9.740900e+03	4.785906e-08	1.830009e+01
9.766300e+03	4.864856e-08	1.828232e+01
9.791700e+03	4.834790e-08	1.828906e+01
9.817100e+03	4.873965e-08	1.828029e+01
9.842500e+03	4.872860e-08	1.828054e+01
9.867900e+03	4.908300e-08	1.827267e+01
9.893300e+03	4.966330e-08	1.825991e+01
9.918700e+03	4.984914e-08	1.825586e+01
9.944100e+03	4.976935e-08	1.825760e+01
9.969500e+03	4.965916e-08	1.826000e+01
9.994900e+03	4.991584e-08	1.825440e+01
1.002030e+04	4.948961e-08	1.826371e+01
1.004570e+04	4.902638e-08	1.827393e+01
