#wave(A)    	flux(maggies)	flux(ABmag)
3.397250e+03	5.073490e-09	2.073673e+01
3.409950e+03	5.178921e-09	2.071440e+01
3.422650e+03	5.006072e-09	2.075126e+01
3.435350e+03	5.107084e-09	2.072957e+01
3.448050e+03	4.941239e-09	2.076541e+01
3.460750e+03	4.993611e-09	2.075396e+01
3.473450e+03	5.187392e-09	2.071263e+01
3.486150e+03	4.726448e-09	2.081366e+01
3.498850e+03	4.917317e-09	2.077068e+01
3.511550e+03	5.189139e-09	2.071226e+01
3.524250e+03	5.405683e-09	2.066787e+01
3.536950e+03	5.272375e-09	2.069498e+01
3.549650e+03	4.111693e-09	2.096495e+01
3.562350e+03	4.496739e-09	2.086776e+01
3.575050e+03	5.681485e-09	2.061385e+01
3.587750e+03	5.786847e-09	2.059389e+01
3.600450e+03	5.744586e-09	2.060185e+01
3.613150e+03	5.664208e-09	2.061715e+01
3.625850e+03	5.399503e-09	2.066912e+01
3.638550e+03	5.837232e-09	2.058448e+01
3.651250e+03	5.890632e-09	2.057460e+01
3.663950e+03	5.986827e-09	2.055701e+01
3.676650e+03	6.029904e-09	2.054922e+01
3.695700e+03	6.357990e-09	2.049170e+01
3.721100e+03	6.336636e-09	2.049535e+01
3.746500e+03	6.383262e-09	2.048739e+01
3.771900e+03	6.522138e-09	2.046403e+01
3.797300e+03	6.651195e-09	2.044275e+01
3.822700e+03	6.779817e-09	2.042196e+01
3.848100e+03	6.877414e-09	2.040644e+01
3.873500e+03	7.001168e-09	2.038707e+01
3.898900e+03	7.061041e-09	2.037783e+01
3.924300e+03	7.162327e-09	2.036236e+01
3.949700e+03	7.223970e-09	2.035306e+01
3.975100e+03	7.287620e-09	2.034354e+01
4.000500e+03	7.391751e-09	2.032813e+01
4.025900e+03	7.541454e-09	2.030636e+01
4.051300e+03	7.413681e-09	2.032492e+01
4.076700e+03	7.652070e-09	2.029055e+01
4.102100e+03	7.587446e-09	2.029976e+01
4.127500e+03	7.906152e-09	2.025509e+01
4.152900e+03	8.178819e-09	2.021827e+01
4.178300e+03	8.290727e-09	2.020352e+01
4.203700e+03	8.419546e-09	2.018678e+01
4.229100e+03	8.441726e-09	2.018392e+01
4.254500e+03	8.482603e-09	2.017868e+01
4.279900e+03	8.373613e-09	2.019272e+01
4.305300e+03	8.597156e-09	2.016411e+01
4.330700e+03	8.726548e-09	2.014789e+01
4.356100e+03	8.960279e-09	2.011920e+01
4.381500e+03	9.025881e-09	2.011128e+01
4.406900e+03	9.125641e-09	2.009934e+01
4.432300e+03	9.275925e-09	2.008161e+01
4.457700e+03	9.478129e-09	2.005819e+01
4.483100e+03	9.495355e-09	2.005622e+01
4.508500e+03	9.834173e-09	2.001816e+01
4.533900e+03	9.635239e-09	2.004034e+01
4.559300e+03	9.669397e-09	2.003650e+01
4.584700e+03	9.902966e-09	2.001059e+01
4.610100e+03	1.008357e-08	1.999096e+01
4.622800e+03	1.013558e-08	1.998538e+01
4.635500e+03	1.044097e-08	1.995315e+01
4.660900e+03	1.024400e-08	1.997383e+01
4.686300e+03	1.008174e-08	1.999116e+01
4.711700e+03	1.130461e-08	1.986686e+01
4.737100e+03	1.141225e-08	1.985657e+01
4.762500e+03	1.337057e-08	1.968463e+01
4.787900e+03	1.409525e-08	1.962732e+01
4.813300e+03	1.598787e-08	1.949052e+01
4.838700e+03	1.800220e-08	1.936169e+01
4.864100e+03	1.529744e-08	1.953845e+01
4.889500e+03	1.960746e-08	1.926895e+01
4.914900e+03	2.131329e-08	1.917837e+01
4.940300e+03	1.505295e-08	1.955595e+01
4.965700e+03	2.181103e-08	1.915331e+01
4.991100e+03	2.112721e-08	1.918789e+01
5.016500e+03	2.212784e-08	1.913765e+01
5.041900e+03	1.459163e-08	1.958974e+01
5.067300e+03	2.239308e-08	1.912472e+01
5.092700e+03	2.454361e-08	1.902515e+01
5.118100e+03	2.480772e-08	1.901353e+01
5.143500e+03	2.484668e-08	1.901183e+01
5.168900e+03	2.416455e-08	1.904205e+01
5.194300e+03	2.119702e-08	1.918431e+01
5.219700e+03	1.822132e-08	1.934855e+01
5.245100e+03	2.427894e-08	1.903693e+01
5.270500e+03	2.524472e-08	1.899457e+01
5.295900e+03	2.556819e-08	1.898075e+01
5.321300e+03	2.551261e-08	1.898311e+01
5.346700e+03	2.558242e-08	1.898015e+01
5.372100e+03	2.546912e-08	1.898496e+01
5.397500e+03	2.561600e-08	1.897872e+01
5.422900e+03	2.556227e-08	1.898100e+01
5.448300e+03	2.524945e-08	1.899437e+01
5.473700e+03	2.400434e-08	1.904928e+01
5.499100e+03	2.166420e-08	1.916064e+01
5.524500e+03	1.987571e-08	1.925419e+01
5.549900e+03	2.535699e-08	1.898976e+01
5.575300e+03	2.600688e-08	1.896228e+01
5.600700e+03	2.637630e-08	1.894697e+01
5.626100e+03	2.686151e-08	1.892717e+01
5.651500e+03	2.691494e-08	1.892502e+01
5.676900e+03	2.732920e-08	1.890843e+01
5.702300e+03	2.757720e-08	1.889862e+01
5.727700e+03	2.794431e-08	1.888427e+01
5.753100e+03	2.767848e-08	1.889464e+01
5.778500e+03	2.777852e-08	1.889073e+01
5.803900e+03	2.828142e-08	1.887125e+01
5.829300e+03	2.820379e-08	1.887423e+01
5.854700e+03	2.842002e-08	1.886594e+01
5.880100e+03	2.840986e-08	1.886633e+01
5.905500e+03	2.850338e-08	1.886276e+01
5.930900e+03	2.867158e-08	1.885637e+01
5.956300e+03	2.872082e-08	1.885451e+01
5.981700e+03	2.864620e-08	1.885733e+01
6.007100e+03	2.896165e-08	1.884544e+01
6.032500e+03	2.921150e-08	1.883612e+01
6.057900e+03	2.931317e-08	1.883234e+01
6.083300e+03	2.932613e-08	1.883186e+01
6.108700e+03	2.929344e-08	1.883307e+01
6.134100e+03	2.878888e-08	1.885194e+01
6.159500e+03	2.596551e-08	1.896401e+01
6.184900e+03	2.317241e-08	1.908757e+01
6.210300e+03	2.860233e-08	1.885900e+01
6.235700e+03	2.957591e-08	1.882265e+01
6.261100e+03	2.959162e-08	1.882208e+01
6.286500e+03	2.995963e-08	1.880866e+01
6.311900e+03	3.029048e-08	1.879673e+01
6.337300e+03	3.002118e-08	1.880643e+01
6.362700e+03	2.980075e-08	1.881443e+01
6.388100e+03	3.030143e-08	1.879634e+01
6.413500e+03	3.024938e-08	1.879821e+01
