,band,telescope,obsmjd,mag,mag_err,alert,Unnamed: 0
190,ZTF_g,P48,58638.3578819,18.538046861928457,0.0140186321792943,False,
191,ZTF_g,P48,58639.2565046,18.47307573139315,0.0144998226346905,False,
192,ZTF_r,P48,58639.2975,18.451649213869626,0.0170572699262323,False,
193,ZTF_r,P48,58639.3164583,18.426642589715502,0.0193872325107676,False,
194,ZTF_g,P48,58639.4313542,18.495875915300463,0.0128053670509183,False,
195,ZTF_g,P48,58639.4554977,18.486691405716115,0.0130016869858589,False,
196,ZTF_r,P48,58640.2553935,18.39458754021892,0.0149231423344774,False,
197,ZTF_r,P48,58640.279884300006,18.403167102178145,0.0137659831176529,False,
198,ZTF_i,P48,58640.29802080001,18.35629621571569,0.0231717344352568,False,
199,ZTF_g,P48,58640.33502309999,18.46163087207675,0.0117302088288742,False,
200,ZTF_g,P48,58640.3577546,18.47125599805701,0.0142884247603228,False,
201,ZTF_g,P48,58641.1954977,18.44909963607836,0.0200128585816736,False,
202,ZTF_g,P48,58641.21123840001,18.533622149818477,0.0205726768190648,False,
203,ZTF_g,P48,58641.2121528,18.46953979197951,0.0179711508281599,False,
204,ZTF_g,P48,58641.2345023,18.36531309661028,0.029954156896084,False,
205,ZTF_r,P48,58641.29420140001,18.4065036100732,0.0126945999292837,False,
206,ZTF_r,P48,58641.33263890001,18.4342488834306,0.0126540515370269,False,
207,ZTF_r,P48,58641.3335995,18.39441310474042,0.0115576085330088,False,
208,ZTF_r,P48,58642.24497690001,18.35981225797664,0.0134219071020527,False,
209,ZTF_r,P48,58642.2711111,18.41716479540823,0.013584953049959,False,
210,ZTF_r,P48,58642.2783102,18.38921980478656,0.0130672075290004,False,
211,ZTF_g,P48,58642.3871181,18.402824984392407,0.0109986020110361,False,
212,ZTF_g,P48,58642.4169444,18.445902423256385,0.0111054322674091,False,
213,ZTF_r,P48,58643.25576390001,18.34565024566123,0.0159945666935654,False,
214,ZTF_r,P48,58643.2781019,18.341376535761608,0.0179768169984824,False,
